type,id_simulated,num_nodes,tour,cost,start,end,seconds
GA-P,24,5,"[1, 2, 4, 3, 0]",818,2024-09-29 02:39:50.986632,2024-09-29 02:39:50.991973,0.005341
GA-N,24,5,"[1, 2, 4, 3, 0]",818,2024-09-29 02:39:50.992067,2024-09-29 02:39:50.997068,0.005001
B&B,25,5,"[0, 4, 2, 1, 3]",351,2024-09-29 02:39:50.997187,2024-09-29 02:39:50.997310,0.000123
GA-P,25,5,"[3, 1, 2, 4, 0]",351,2024-09-29 02:39:50.997358,2024-09-29 02:39:51.002747,0.005389
GA-N,25,5,"[2, 1, 3, 0, 4]",351,2024-09-29 02:39:51.002806,2024-09-29 02:39:51.008036,0.00523
B&B,26,5,"[0, 3, 2, 4, 1]",422,2024-09-29 02:39:51.008085,2024-09-29 02:39:51.008234,0.000149
GA-P,26,5,"[4, 1, 0, 3, 2]",422,2024-09-29 02:39:51.008376,2024-09-29 02:39:51.013547,0.005171
GA-N,26,5,"[3, 2, 4, 1, 0]",422,2024-09-29 02:39:51.013654,2024-09-29 02:39:51.018706,0.005052
B&B,27,5,"[0, 1, 3, 4, 2]",662,2024-09-29 02:39:51.018751,2024-09-29 02:39:51.018925,0.000174
GA-P,27,5,"[3, 1, 0, 2, 4]",662,2024-09-29 02:39:51.018974,2024-09-29 02:39:51.024430,0.005456
GA-N,27,5,"[3, 1, 0, 2, 4]",662,2024-09-29 02:39:51.024488,2024-09-29 02:39:51.029645,0.005157
B&B,28,5,"[0, 3, 2, 1, 4]",438,2024-09-29 02:39:51.029692,2024-09-29 02:39:51.029861,0.000169
GA-P,28,5,"[3, 2, 1, 4, 0]",438,2024-09-29 02:39:51.029999,2024-09-29 02:39:51.035524,0.005525
GA-N,28,5,"[3, 2, 1, 4, 0]",438,2024-09-29 02:39:51.035578,2024-09-29 02:39:51.040725,0.005147
B&B,29,5,"[0, 1, 3, 2, 4]",404,2024-09-29 02:39:51.040773,2024-09-29 02:39:51.040941,0.000168
GA-P,29,5,"[1, 3, 2, 4, 0]",404,2024-09-29 02:39:51.040989,2024-09-29 02:39:51.046408,0.005419
GA-N,29,5,"[1, 3, 2, 4, 0]",404,2024-09-29 02:39:51.046508,2024-09-29 02:39:51.051509,0.005001
B&B,30,6,"[0, 3, 1, 2, 5, 4]",693,2024-09-29 02:39:51.051561,2024-09-29 02:39:51.052278,0.000717
GA-P,30,6,"[1, 2, 5, 4, 0, 3]",693,2024-09-29 02:39:51.052340,2024-09-29 02:39:51.058528,0.006188
GA-N,30,6,"[4, 5, 2, 1, 3, 0]",693,2024-09-29 02:39:51.058595,2024-09-29 02:39:51.064445,0.00585
B&B,31,6,"[0, 3, 5, 1, 2, 4]",499,2024-09-29 02:39:51.064501,2024-09-29 02:39:51.065073,0.000572
GA-P,31,6,"[3, 5, 1, 2, 4, 0]",499,2024-09-29 02:39:51.065237,2024-09-29 02:39:51.071370,0.006133
